_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved (2017 - Present),Total ARH Approved (2017 - Present),Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
161,ARH0232,"Bloor-Kipling Block 3, 6, 7 (3741 Bloor Street West and part 925 Kipling Avenue)",5207 Dundas St W ,Under Review,3,Etobicoke-Lakeshore,441,490,490,49,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.53339886, 43.64010721]]}"
162,ARH0233,Bloor-Kipling (Block 1),5207 Dundas St W ,Pre-Planning,3,Etobicoke-Lakeshore,196,218,507,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.53339886, 43.64010721]]}"
163,ARH0234,Bloor-Kipling (Block 5),5207 Dundas St W ,Under Review,3,Etobicoke-Lakeshore,176,195,395,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.53339886, 43.64010721]]}"
164,ARH0236,East Bayfront - Block R6 (263 Queen Quay East),263 Queens Quay East,Pre-Planning,10,Spadina-Fort York,179,199,126,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36176291, 43.64649974]]}"
165,ARH0237,East Harbour (21 Don Valley Parkway N),21 Don Valley Parkway N,Under Review,14,Toronto-Danforth,215,215,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34784114, 43.6535527]]}"
166,ARH0239,Lawrence Heights (3 Flemington Road),3 Flemington Rd,Under Construction,8,Eglinton-Lawrence,130,130,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.44214501, 43.71915706]]}"
167,ARH0242,"259 Lakeshore blvd East, 200 Queens Quay East (Quayside)",259 Lake Shore Blvd,Under Review,10,Spadina-Fort York,468,468,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36340485, 43.64620743]]}"
168,ARH0245,Regent Park Phase 4 and 5 (multiple addresses),591 Dundas St E,Under Review,13,Toronto Centre,637,637,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.362694, 43.661805]]}"
169,ARH0246,"West Don Lands (Blocks 3W, 4W, 7W)",373 Front St E,Final Planning Approval,13,Toronto Centre,275,275,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35783621, 43.65143587]]}"
170,ARH0247,333 Lake Shore Boulevard East (Quayside),333 Lake Shore Blvd E,Under Review,10,Spadina-Fort York,407,407,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.359578, 43.647133]]}"
171,ARH0248,877 Yonge Street (Phase 2),877 Yonge Street,Occupied,11,University-Rosedale,0,156,0,156,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.359578, 43.647133]]}"
172,ARH0249,537 Broadview Avenue,537 Broadview Avenue,Under Review,14,Toronto-Danforth,12,12,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35410492, 43.67134736]]}"
173,ARH0250,3060 Eglinton Avenue East,3060 Eglinton Avenue East,Under Review,24,Scarborough-Guildwood,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.22796782, 43.74171849]]}"
174,ARH0251,46-52 Laing Street,52 Laing St,Final Planning Approval,14,Toronto-Danforth,6,6,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.32716007, 43.663138]]}"
175,ARH0252,350 Bloor Street East,350 Bloor St. E,Under Review,11,University-Rosedale,16,16,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37873583, 43.67227]]}"
176,ARH0253,34 - 42 Maitland Street,34 Maitland St.,Under Review,13,Toronto Centre,11,11,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38240192, 43.664602]]}"
